id,date,session,gender,format,nat,start_no,name,run,status,start_time,int1,int2,int3,int4,finish,speed,athlete_id,air_temp,humidity_pct,pressure_hpa,wind_speed_ms,dewpoint_c,ice_temp_est,temp_avg,seg1,seg2,seg3,seg4,seg5,is_normal,display_code
1,2026-02-27,,M,TRAINING,KOR,1,SONG Youngmin,1,OK,4.96,14.63,23.74,34.45,45.77,53.03,115.86,ATH-15459358,-0.2,92.6,926,2.1,-1.3,-4.2,,9.67,9.11,10.71,11.32,7.26,True,SK011
2,2026-02-27,,M,TRAINING,KOR,1,SONG Youngmin,2,DNS,,,,,,,,ATH-15459358,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK011
3,2026-02-27,,M,TRAINING,KOR,1,SONG Youngmin,3,OK,4.89,14.57,23.72,34.44,45.98,53.47,118.38,ATH-15459358,-0.2,92.6,926,2.1,-1.3,-4.2,,9.68,9.15,10.72,11.54,7.49,True,SK011
4,2026-02-27,,M,TRAINING,KOR,2,KWACK Eunwoo,1,OK,4.97,14.84,24.31,35.16,46.58,53.92,119.15,ATH-F6E5D0C9,-0.2,92.6,926,2.1,-1.3,-4.2,,9.87,9.47,10.85,11.42,7.34,True,SK013
5,2026-02-27,,M,TRAINING,KOR,2,KWACK Eunwoo,2,DNS,,,,,,,,ATH-F6E5D0C9,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK013
6,2026-02-27,,M,TRAINING,KOR,2,KWACK Eunwoo,3,OK,4.98,14.69,23.81,34.43,45.89,53.29,118.38,ATH-F6E5D0C9,2,74.9,932.4,2.5,-2.1,-7,-7,9.71,9.12,10.62,11.46,7.4,True,SK013
7,2026-02-27,,M,TRAINING,KOR,3,SHIN Yeonsu,1,DNS,,,,,,,,ATH-91E60E21,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK006
8,2026-02-27,,M,TRAINING,KOR,3,SHIN Yeonsu,2,DNS,,,,,,,,ATH-91E60E21,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK006
9,2026-02-27,,M,TRAINING,KOR,3,SHIN Yeonsu,3,DNS,,,,,,,,ATH-91E60E21,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK006
13,2026-02-27,,M,TRAINING,KOR,5,KIM Jisoo,1,OK,4.89,14.51,23.47,33.91,44.94,51.99,122.62,ATH-B78B10F1,-0.2,92.6,926,2.1,-1.3,-4.2,,9.62,8.96,10.44,11.03,7.05,True,SK003
14,2026-02-27,,M,TRAINING,KOR,5,KIM Jisoo,2,OK,4.8,14.39,23.39,33.86,44.99,52.1,122.05,ATH-B78B10F1,-0.2,92.6,926,2.1,-1.3,-4.2,,9.59,9,10.47,11.13,7.11,True,SK003
15,2026-02-27,,M,TRAINING,KOR,5,KIM Jisoo,3,DNS,,,,,,,,ATH-B78B10F1,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK003
16,2026-02-27,,M,TRAINING,KOR,6,JUNG Seunggi,1,OK,4.81,14.36,23.28,33.65,44.56,51.46,125.53,ATH-56A76FCD,-0.2,92.6,926,2.1,-1.3,-4.2,,9.55,8.92,10.37,10.91,6.9,True,SK001
17,2026-02-27,,M,TRAINING,KOR,6,JUNG Seunggi,2,OK,4.86,14.46,23.43,33.87,44.89,51.87,123.93,ATH-56A76FCD,-0.2,92.6,926,2.1,-1.3,-4.2,,9.6,8.97,10.44,11.02,6.98,True,SK001
18,2026-02-27,,M,TRAINING,KOR,6,JUNG Seunggi,3,DNS,,,,,,,,ATH-56A76FCD,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK001
19,2026-02-27,,M,TRAINING,KOR,7,AN Jaewoong,1,OK,5.03,14.79,24.37,36.22,48.37,56.3,111.06,ATH-E68E8959,2,74.9,932.4,2.5,-2.1,-7,-7,9.76,9.58,11.85,12.15,7.93,True,SK020
20,2026-02-27,,M,TRAINING,KOR,7,AN Jaewoong,2,OK,5.15,14.96,24.09,34.83,46.63,54.63,111.53,ATH-E68E8959,2,74.9,932.4,2.5,-2.1,-7,-7,9.81,9.13,10.74,11.8,8,True,SK020
21,2026-02-27,,M,TRAINING,KOR,7,AN Jaewoong,3,DNS,,,,,,,,ATH-E68E8959,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK020
22,2026-02-27,,M,TRAINING,KOR,8,YEO Chanhyuk,1,OK,4.84,14.43,23.43,33.85,44.8,51.69,125.11,ATH-81CCC6D3,-0.2,92.6,926,2.1,-1.3,-4.2,,9.59,9,10.42,10.95,6.89,True,SK002
23,2026-02-27,,M,TRAINING,KOR,8,YEO Chanhyuk,2,OK,4.86,14.49,23.5,33.99,45.03,52.03,123.44,ATH-81CCC6D3,-0.2,92.6,926,2.1,-1.3,-4.2,,9.63,9.01,10.49,11.04,7,True,SK002
24,2026-02-27,,M,TRAINING,KOR,8,YEO Chanhyuk,3,DNS,,,,,,,,ATH-81CCC6D3,-0.2,92.6,926,2.1,-1.3,-4.2,,,,,,,False,SK002
28,2026-02-28,,M,OFFICIAL,KOR,5,JUNG Seunggi,1,OK,4.78,14.34,23.36,33.9,45.03,52.21,121.73,ATH-56A76FCD,1.4,81.2,931.8,2.6,-1.5,-2.6,,9.56,9.02,10.54,11.13,7.18,True,SK001
29,2026-02-28,,M,OFFICIAL,KOR,5,JUNG Seunggi,2,OK,4.74,14.28,23.34,33.93,45.12,52.32,121.33,ATH-56A76FCD,1.4,81.2,931.8,2.6,-1.5,-2.6,,9.54,9.06,10.59,11.19,7.2,True,SK001
30,2026-02-28,,M,OFFICIAL,KOR,2,YEO Chanhyuk,1,OK,4.77,14.34,23.42,34.01,45.18,52.34,120.94,ATH-81CCC6D3,1.4,81.2,931.8,2.6,-1.5,-2.6,,9.57,9.08,10.59,11.17,7.16,True,SK002
31,2026-02-28,,M,OFFICIAL,KOR,2,YEO Chanhyuk,2,OK,5.01,14.77,23.91,34.59,45.82,53.03,120.46,ATH-81CCC6D3,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.76,9.14,10.68,11.23,7.21,True,SK002
32,2026-02-28,,M,OFFICIAL,KOR,6,KIM Jisoo,1,OK,4.72,14.29,23.42,34.19,45.67,53.16,117.56,ATH-B78B10F1,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.57,9.13,10.77,11.48,7.49,True,SK003
33,2026-02-28,,M,OFFICIAL,KOR,6,KIM Jisoo,2,OK,4.74,14.32,23.41,34.09,45.4,52.77,118.69,ATH-B78B10F1,1.4,81.2,931.8,2.6,-1.5,-2.6,,9.58,9.09,10.68,11.31,7.37,True,SK003
34,2026-02-28,,M,OFFICIAL,KOR,7,SONG Youngmin,1,OK,4.77,14.37,23.52,34.25,45.76,53.21,118.46,ATH-15459358,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.6,9.15,10.73,11.51,7.45,True,SK011
35,2026-02-28,,M,OFFICIAL,KOR,7,SONG Youngmin,2,OK,4.67,14.19,23.34,34.08,46.03,53.98,111.8,ATH-15459358,1.4,81.2,931.8,2.6,-1.5,-2.6,,9.52,9.15,10.74,11.95,7.95,True,SK011
36,2026-02-28,,M,OFFICIAL,KOR,1,AN Jaewoong,1,OK,4.96,14.7,23.91,34.73,46.2,53.68,118.38,ATH-E68E8959,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.74,9.21,10.82,11.47,7.48,True,SK020
37,2026-02-28,,M,OFFICIAL,KOR,1,AN Jaewoong,2,OK,5.01,14.76,23.99,34.85,46.34,53.84,117.63,ATH-E68E8959,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.75,9.23,10.86,11.49,7.5,True,SK020
40,2026-02-28,,M,OFFICIAL,KOR,8,KWACK Eunwoo,1,OK,4.88,14.55,23.73,34.57,46.22,53.96,116.81,ATH-F6E5D0C9,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.67,9.18,10.84,11.65,7.74,True,SK013
41,2026-02-28,,M,OFFICIAL,KOR,8,KWACK Eunwoo,2,OK,4.84,14.57,23.84,34.66,46.58,54.41,114.08,ATH-F6E5D0C9,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.73,9.27,10.82,11.92,7.83,True,SK013
44,2026-02-27,,W,TRAINING,KOR,1,KIM Minji,1,OK,5.81,15.95,25.36,36.23,47.97,55.66,113.17,ATH-075364AA,2,74.9,932.4,2.5,-2.1,-7,-7,10.14,9.41,10.87,11.74,7.69,True,SK028
45,2026-02-27,,W,TRAINING,KOR,1,KIM Minji,2,OK,5.82,15.98,25.27,36.13,47.87,55.46,112.34,ATH-075364AA,2,74.9,932.4,2.5,-2.1,-7,-7,10.16,9.29,10.86,11.74,7.59,True,SK028
46,2026-02-27,,W,TRAINING,KOR,2,KIM Yerim,1,OK,5.64,15.73,24.9,35.53,46.75,53.94,117.7,ATH-16B2F494,2,74.9,932.4,2.5,-2.1,-7,-7,10.09,9.17,10.63,11.22,7.19,True,SK027
47,2026-02-27,,W,TRAINING,KOR,2,KIM Yerim,2,OK,5.65,15.72,24.94,35.65,46.94,54.27,120.86,ATH-16B2F494,2,74.9,932.4,2.5,-2.1,-7,-7,10.07,9.22,10.71,11.29,7.33,True,SK027
48,2026-02-27,,W,TRAINING,KOR,3,CHUNG Yeeun,1,OK,6.13,16.36,25.66,36.39,47.75,55.2,121.09,ATH-8A0E894D,2,74.9,932.4,2.5,-2.1,-7,-7,10.23,9.3,10.73,11.36,7.45,True,SK030
49,2026-02-27,,W,TRAINING,KOR,3,CHUNG Yeeun,2,OK,5.75,15.89,25.27,36.22,48.21,56.1,112.96,ATH-8A0E894D,-0.2,92.6,926,2.1,-1.3,-4.2,,10.14,9.38,10.95,11.99,7.89,True,SK030
50,2026-02-27,,W,TRAINING,KOR,4,HONG Sujung,1,OK,5.28,15.13,24.22,34.72,45.84,53.0,123.44,ATH-CCB3D4AE,2,74.9,932.4,2.5,-2.1,-7,-7,9.85,9.09,10.5,11.12,7.16,True,SK016
51,2026-02-27,,W,TRAINING,KOR,4,HONG Sujung,2,OK,5.37,15.37,24.68,35.44,46.79,54.12,120.54,ATH-CCB3D4AE,2,74.9,932.4,2.5,-2.1,-7,-7,10,9.31,10.76,11.35,7.33,True,SK016
56,2026-02-28,,W,OFFICIAL,KOR,3,HONG Sujung,1,OK,5.18,15.0,24.22,34.95,46.27,53.63,,ATH-CCB3D4AE,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.82,9.22,10.73,11.32,7.36,True,SK016
57,2026-02-28,,W,OFFICIAL,KOR,3,HONG Sujung,2,OK,5.21,15.07,24.28,35.06,46.87,54.53,116.15,ATH-CCB3D4AE,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.86,9.21,10.78,11.81,7.66,True,SK016
58,2026-02-28,,W,OFFICIAL,KOR,5,KIM Yerim,1,OK,5.43,15.42,24.65,35.41,46.79,54.25,115.57,ATH-16B2F494,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.99,9.23,10.76,11.38,7.46,True,SK027
59,2026-02-28,,W,OFFICIAL,KOR,5,KIM Yerim,2,OK,5.42,15.41,24.66,35.48,47.2,54.88,115.86,ATH-16B2F494,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,9.99,9.25,10.82,11.72,7.68,True,SK027
60,2026-02-28,,W,OFFICIAL,KOR,4,KIM Minji,1,OK,5.64,15.74,25.15,36.11,47.85,55.4,116.67,ATH-075364AA,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,10.1,9.41,10.96,11.74,7.55,True,SK028
61,2026-02-28,,W,OFFICIAL,KOR,4,KIM Minji,2,OK,5.66,15.79,25.13,36.04,47.69,55.31,112.62,ATH-075364AA,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,10.13,9.34,10.91,11.65,7.62,True,SK028
62,2026-02-28,,W,OFFICIAL,KOR,1,CHUNG Yeeun,1,OK,5.68,15.79,25.19,36.4,48.49,56.33,112.96,ATH-8A0E894D,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,10.11,9.4,11.21,12.09,7.84,True,SK030
63,2026-02-28,,W,OFFICIAL,KOR,1,CHUNG Yeeun,2,OK,5.73,15.98,25.38,36.67,48.71,56.66,112.48,ATH-8A0E894D,1.4,76.9,938.4,2,-2.3,-6.96,-6.96,10.25,9.4,11.29,12.04,7.95,True,SK030
64,2026-02-28,,W,OFFICIAL,KOR,2,PARK Yewoon,1,OK,5.58,15.71,25.18,36.4,48.65,56.96,106.46,,1.4,81.2,931.8,2.6,-1.5,-2.6,,10.13,9.47,11.22,12.25,8.31,True,
69,2025-12-13,,W,OFFICIAL,KOR,10,HONG Sujung,1,OK,5.13,14.92,23.98,34.51,45.9,53.18,119.15,ATH-CCB3D4AE,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.79,9.06,10.53,11.39,7.28,True,SK016
72,2025-12-13,,W,OFFICIAL,USA,1,UHLAENDER Katie,1,OK,5.5,15.42,24.54,35.14,46.34,53.52,121.81,ATH-5BF779CF,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.92,9.12,10.6,11.2,7.18,True,SK014
73,2025-12-13,,W,OFFICIAL,KOR,20,KIM Yerim,1,OK,5.35,15.24,24.4,34.96,46.31,53.62,115.93,ATH-16B2F494,0.9,82,928.9,1.1,-1.9,-3.1,,9.89,9.16,10.56,11.35,7.31,True,SK027
75,2025-12-13,,W,OFFICIAL,KOR,15,KIM Minji,1,OK,5.56,15.53,24.66,35.29,46.7,53.97,120.0,ATH-075364AA,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.97,9.13,10.63,11.41,7.27,True,SK028
77,2025-12-13,,W,OFFICIAL,CHN,4,ZHU Yangqi,1,OK,5.18,14.98,24.09,34.76,46.44,54.12,115.5,ATH-51778208,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.8,9.11,10.67,11.68,7.68,True,SK019
78,2025-12-13,,W,OFFICIAL,PUR,5,DELKA Kellie,1,OK,5.25,15.07,24.15,34.82,46.82,54.64,112.21,ATH-DAD23CF0,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.82,9.08,10.67,12,7.82,True,SK022
80,2025-12-13,,W,OFFICIAL,KOR,16,CHUNG Yeeun,1,OK,5.54,15.53,24.74,35.41,47.03,54.77,114.36,ATH-8A0E894D,0.9,82,928.9,1.1,-1.9,-3.1,,9.99,9.21,10.67,11.62,7.74,True,SK030
81,2025-12-13,,W,OFFICIAL,POL,12,JAKOBCZYK Marta,1,OK,5.49,15.48,24.65,35.36,47.05,54.78,114.43,ATH-5FC3062E,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.99,9.17,10.71,11.69,7.73,True,SK023
82,2025-12-13,,W,OFFICIAL,COL,7,VARGAS Laura,1,OK,5.65,15.85,25.31,36.26,47.74,55.11,119.61,ATH-0926CF11,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,10.2,9.46,10.95,11.48,7.37,True,SK031
83,2025-12-13,,W,OFFICIAL,MLT,17,GALEA Shannon,1,OK,5.49,15.45,24.67,35.56,47.46,55.38,113.87,ATH-4C32621F,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.96,9.22,10.89,11.9,7.92,True,SK033
85,2025-12-13,,W,OFFICIAL,ESP,14,TORRES QUEVEDO Ana,1,OK,5.56,15.58,24.77,35.56,48.31,56.73,107.58,,0.9,82,928.9,1.1,-1.9,-3.1,,10.02,9.19,10.79,12.75,8.42,True,
87,2025-12-13,,W,OFFICIAL,KOR,23,PARK Yewoon,1,OK,7.11,17.62,27.16,38.3,50.55,58.9,108.78,,0.9,82,928.9,1.1,-1.9,-3.1,,10.51,9.54,11.14,12.25,8.35,False,
94,2025-12-13,,W,OFFICIAL,KOR,10,HONG Sujung,1,OK,5.13,14.92,23.98,34.51,45.9,53.18,119.15,ATH-CCB3D4AE,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.79,9.06,10.53,11.39,7.28,True,SK016
95,2025-12-13,,W,OFFICIAL,KOR,10,HONG Sujung,2,OK,5.17,14.96,24.01,34.46,45.61,52.81,120.78,ATH-CCB3D4AE,0.9,82,928.9,1.1,-1.9,-3.1,,9.79,9.05,10.45,11.15,7.2,True,SK016
96,2025-12-13,,W,OFFICIAL,USA,1,UHLAENDER Katie,1,OK,5.5,15.42,24.54,35.14,46.34,53.52,121.81,ATH-5BF779CF,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.92,9.12,10.6,11.2,7.18,True,SK014
97,2025-12-13,,W,OFFICIAL,USA,1,UHLAENDER Katie,2,OK,5.46,15.38,24.47,35.0,46.16,53.27,122.46,ATH-5BF779CF,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.92,9.09,10.53,11.16,7.11,True,SK014
98,2025-12-13,,W,OFFICIAL,KOR,20,KIM Yerim,1,OK,5.35,15.24,24.4,34.96,46.31,53.62,115.93,ATH-16B2F494,0.9,82,928.9,1.1,-1.9,-3.1,,9.89,9.16,10.56,11.35,7.31,True,SK027
99,2025-12-13,,W,OFFICIAL,KOR,20,KIM Yerim,2,OK,5.37,15.3,24.5,35.14,46.45,53.74,121.02,ATH-16B2F494,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.93,9.2,10.64,11.31,7.29,True,SK027
104,2025-12-13,,W,OFFICIAL,CHN,4,ZHU Yangqi,1,OK,5.18,14.98,24.09,34.76,46.44,54.12,115.5,ATH-51778208,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.8,9.11,10.67,11.68,7.68,True,SK019
105,2025-12-13,,W,OFFICIAL,CHN,4,ZHU Yangqi,2,OK,5.18,14.97,24.02,34.59,46.27,53.97,115.43,ATH-51778208,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.79,9.05,10.57,11.68,7.7,True,SK019
110,2025-12-13,,W,OFFICIAL,PUR,5,DELKA Kellie,1,OK,5.25,15.07,24.15,34.82,46.82,54.64,112.21,ATH-DAD23CF0,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.82,9.08,10.67,12,7.82,True,SK022
111,2025-12-13,,W,OFFICIAL,PUR,5,DELKA Kellie,2,OK,5.29,15.14,24.22,34.91,46.45,54.06,114.86,ATH-DAD23CF0,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.85,9.08,10.69,11.54,7.61,True,SK022
112,2025-12-13,,W,OFFICIAL,POL,12,JAKOBCZYK Marta,1,OK,5.49,15.48,24.65,35.36,47.05,54.78,114.43,ATH-5FC3062E,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.99,9.17,10.71,11.69,7.73,True,SK023
113,2025-12-13,,W,OFFICIAL,POL,12,JAKOBCZYK Marta,2,OK,5.38,15.3,24.46,35.19,46.86,54.42,116.01,ATH-5FC3062E,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.92,9.16,10.73,11.67,7.56,True,SK023
114,2025-12-13,,W,OFFICIAL,KOR,16,CHUNG Yeeun,1,OK,5.54,15.53,24.74,35.41,47.03,54.77,114.36,ATH-8A0E894D,0.9,82,928.9,1.1,-1.9,-3.1,,9.99,9.21,10.67,11.62,7.74,True,SK030
115,2025-12-13,,W,OFFICIAL,KOR,16,CHUNG Yeeun,2,OK,5.58,15.6,24.83,35.61,47.17,54.57,119.61,ATH-8A0E894D,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,10.02,9.23,10.78,11.56,7.4,True,SK030
118,2025-12-13,,W,OFFICIAL,COL,7,VARGAS Laura,1,OK,5.65,15.85,25.31,36.26,47.74,55.11,119.61,ATH-0926CF11,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,10.2,9.46,10.95,11.48,7.37,True,SK031
119,2025-12-13,,W,OFFICIAL,COL,7,VARGAS Laura,2,OK,5.63,15.8,25.11,36.0,47.93,55.75,110.6,ATH-0926CF11,0.9,82,928.9,1.1,-1.9,-3.1,,10.17,9.31,10.89,11.93,7.82,True,SK031
120,2025-12-13,,W,OFFICIAL,MLT,17,GALEA Shannon,1,OK,5.49,15.45,24.67,35.56,47.46,55.38,113.87,ATH-4C32621F,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.96,9.22,10.89,11.9,7.92,True,SK033
121,2025-12-13,,W,OFFICIAL,MLT,17,GALEA Shannon,2,OK,5.55,15.54,24.75,35.78,47.9,55.95,111.46,ATH-4C32621F,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.99,9.21,11.03,12.12,8.05,True,SK033
122,2025-12-13,,W,OFFICIAL,KOR,15,KIM Minji,1,OK,5.56,15.53,24.66,35.29,46.7,53.97,120.0,ATH-075364AA,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,9.97,9.13,10.63,11.41,7.27,True,SK028
123,2025-12-13,,W,OFFICIAL,KOR,15,KIM Minji,2,OK,5.61,15.69,24.9,35.59,47.5,57.67,114.36,ATH-075364AA,0.9,82,928.9,1.1,-1.9,-3.1,,10.08,9.21,10.69,11.91,10.17,True,SK028
124,2025-12-13,,W,OFFICIAL,ESP,14,TORRES QUEVEDO Ana,1,OK,5.56,15.58,24.77,35.56,48.31,56.73,107.58,,0.9,82,928.9,1.1,-1.9,-3.1,,10.02,9.19,10.79,12.75,8.42,True,
125,2025-12-13,,W,OFFICIAL,ESP,14,TORRES QUEVEDO Ana,2,OK,5.55,15.55,24.89,35.98,47.64,55.23,116.74,,1.9,77.5,936.1,1.3,-1.8,-6.82,-6.82,10,9.34,11.09,11.66,7.59,True,
130,2025-12-13,,W,OFFICIAL,KOR,23,PARK Yewoon,1,OK,7.11,17.62,27.16,38.3,50.55,58.9,108.78,,0.9,82,928.9,1.1,-1.9,-3.1,,10.51,9.54,11.14,12.25,8.35,False,
131,2025-12-13,,W,OFFICIAL,KOR,23,PARK Yewoon,2,OK,7.13,17.63,27.11,38.19,50.23,58.43,112.69,,0.9,82,928.9,1.1,-1.9,-3.1,,10.5,9.48,11.08,12.04,8.2,False,
136,2025-12-18,,M,OFFICIAL,KOR,1,YEO Chanhyuk,1,OK,4.74,14.24,23.1,33.34,44.03,50.71,129.39,ATH-81CCC6D3,3,44.9,933,2.3,-8.4,-1,,9.5,8.86,10.24,10.69,6.68,True,SK002
137,2025-12-18,,M,OFFICIAL,KOR,1,YEO Chanhyuk,2,OK,4.73,14.22,23.14,33.48,44.37,51.26,125.53,ATH-81CCC6D3,3,44.9,933,2.3,-8.4,-1,,9.49,8.92,10.34,10.89,6.89,True,SK002
138,2025-12-18,,M,OFFICIAL,KOR,9,SHIN Yeonsu,1,OK,4.97,14.61,23.55,33.87,44.72,51.67,125.11,ATH-91E60E21,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.64,8.94,10.32,10.85,6.95,True,SK006
139,2025-12-18,,M,OFFICIAL,KOR,9,SHIN Yeonsu,2,OK,4.95,14.57,23.5,33.83,44.68,51.53,126.73,ATH-91E60E21,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.62,8.93,10.33,10.85,6.85,True,SK006
144,2025-12-18,,M,OFFICIAL,AUS,2,TIMMINGS Nicholas,1,OK,4.92,14.51,23.42,33.79,44.81,51.8,125.19,ATH-E141DBED,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.59,8.91,10.37,11.02,6.99,True,SK005
145,2025-12-18,,M,OFFICIAL,AUS,2,TIMMINGS Nicholas,2,OK,4.91,14.51,23.48,33.91,44.84,51.77,126.39,ATH-E141DBED,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.6,8.97,10.43,10.93,6.93,True,SK005
148,2025-12-18,,M,OFFICIAL,ESP,20,RODRIGUEZ Adrian,1,OK,4.79,14.31,23.23,33.61,44.73,51.87,122.95,,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.52,8.92,10.38,11.12,7.14,True,
149,2025-12-18,,M,OFFICIAL,ESP,20,RODRIGUEZ Adrian,2,OK,4.82,14.36,23.27,33.66,44.86,52.02,121.73,,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.54,8.91,10.39,11.2,7.16,True,
152,2025-12-18,,M,OFFICIAL,GBR,16,BOSTOCK Laurence,1,OK,4.82,14.37,23.31,33.71,44.94,52.09,122.95,ATH-1A4821B0,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.55,8.94,10.4,11.23,7.15,True,SK004
153,2025-12-18,,M,OFFICIAL,GBR,16,BOSTOCK Laurence,2,OK,4.79,14.37,23.31,33.69,44.76,51.88,120.0,ATH-1A4821B0,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.58,8.94,10.38,11.07,7.12,True,SK004
154,2025-12-18,,M,OFFICIAL,KOR,26,SONG Youngmin,1,OK,4.65,14.13,23.12,33.58,44.69,51.78,122.62,ATH-15459358,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.48,8.99,10.46,11.11,7.09,True,SK011
155,2025-12-18,,M,OFFICIAL,KOR,26,SONG Youngmin,2,OK,4.67,14.19,23.18,33.66,44.93,52.21,117.41,ATH-15459358,3,44.9,933,2.3,-8.4,-1,,9.52,8.99,10.48,11.27,7.28,True,SK011
162,2025-12-18,,M,OFFICIAL,JPN,10,TAKAHASHI Hiroatsu,1,OK,4.86,14.44,23.39,33.85,45.01,52.21,122.62,ATH-830BBF37,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.58,8.95,10.46,11.16,7.2,True,SK010
163,2025-12-18,,M,OFFICIAL,JPN,10,TAKAHASHI Hiroatsu,2,OK,4.87,14.48,23.45,33.94,45.18,52.45,122.46,ATH-830BBF37,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.61,8.97,10.49,11.24,7.27,True,SK010
168,2025-12-18,,M,OFFICIAL,TPE,6,PENG Lin-Wei,1,OK,4.93,14.57,23.6,34.14,45.32,52.51,121.81,ATH-0A5C0017,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.64,9.03,10.54,11.18,7.19,True,SK018
169,2025-12-18,,M,OFFICIAL,TPE,6,PENG Lin-Wei,2,OK,4.92,14.63,23.68,34.18,45.29,52.36,124.6,ATH-0A5C0017,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.71,9.05,10.5,11.11,7.07,True,SK018
170,2025-12-18,,M,OFFICIAL,JPN,12,NAGAO Taido,1,OK,4.9,14.55,23.56,34.03,45.23,52.87,116.74,ATH-80A2ED01,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.65,9.01,10.47,11.2,7.64,True,SK007
171,2025-12-18,,M,OFFICIAL,JPN,12,NAGAO Taido,2,OK,4.86,14.56,23.54,33.95,45.09,52.21,121.33,ATH-80A2ED01,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.7,8.98,10.41,11.14,7.12,True,SK007
172,2025-12-18,,M,OFFICIAL,KOR,13,KWACK Eunwoo,1,OK,4.9,14.51,23.46,33.85,45.11,52.25,121.25,ATH-F6E5D0C9,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.61,8.95,10.39,11.26,7.14,True,SK013
173,2025-12-18,,M,OFFICIAL,KOR,13,KWACK Eunwoo,2,OK,4.92,14.73,23.87,34.38,45.6,52.87,122.21,ATH-F6E5D0C9,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.81,9.14,10.51,11.22,7.27,True,SK013
174,2025-12-18,,M,OFFICIAL,JPN,18,KAWANO Hayato,1,OK,4.89,14.51,23.5,34.11,45.51,52.82,116.67,ATH-DE295AEB,2.9,46.5,939.6,1,-6.9,-6.7,-6.7,9.62,8.99,10.61,11.4,7.31,True,SK012
